[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 23585
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1679.99817 [s^-1 rad]
Frequency          = 534.760010 [Hz]
Engine Order       = 2

[Spatial Fields]
x, y, z

[Data]
x [ m ], y [ m ], z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
 1.53933030E-03,  2.54726260E-01,  2.41779070E-02,  2.32069850E+03,  1.96911380E+03
 1.54014350E-03,  2.54762380E-01,  2.41833290E-02,  2.31828030E+03,  1.97574910E+03
 1.54065170E-03,  2.54785090E-01,  2.41867400E-02,  2.37545750E+03,  2.05274560E+03
 1.54096970E-03,  2.54799340E-01,  2.41888820E-02,  2.37745360E+03,  2.02833390E+03
 1.54116910E-03,  2.54808310E-01,  2.41902280E-02,  2.26872560E+03,  1.90714390E+03
 1.54129450E-03,  2.54813970E-01,  2.41910760E-02,  1.74433940E+03,  1.37230210E+03
 5.13706590E-03,  9.65291040E-02,  3.74224900E-03, -4.24413700E+02,  1.58081420E+02
 5.13745190E-03,  9.65359510E-02,  3.74322130E-03, -4.24021730E+02,  1.58005070E+02
 5.13806330E-03,  9.65468140E-02,  3.74476260E-03, -4.23006650E+02,  1.57802370E+02
 5.13903240E-03,  9.65640400E-02,  3.74720730E-03, -4.20957950E+02,  1.57768040E+02
 5.14056770E-03,  9.65913460E-02,  3.75108540E-03, -4.19235840E+02,  1.57948960E+02
 5.14299800E-03,  9.66346490E-02,  3.75723860E-03, -4.16896610E+02,  1.58243610E+02
 5.14684150E-03,  9.67033210E-02,  3.76700520E-03, -4.13447140E+02,  1.58176700E+02
 5.15291090E-03,  9.68122110E-02,  3.78251520E-03, -4.07761660E+02,  1.57497940E+02
 5.16247280E-03,  9.69848710E-02,  3.80716750E-03, -4.02102780E+02,  1.56417100E+02
 5.17747880E-03,  9.72586350E-02,  3.84640390E-03, -4.05922550E+02,  1.57024630E+02
 5.20089920E-03,  9.76927130E-02,  3.90899650E-03, -4.42808960E+02,  1.69864640E+02
 5.23741820E-03,  9.83808710E-02,  4.00949360E-03, -5.96311160E+02,  2.05925660E+02
 5.29338890E-03,  9.94717850E-02,  4.17141800E-03, -1.16720750E+03,  2.65810640E+02
 5.39705720E-03,  1.01605710E-01,  4.49748340E-03, -2.19384470E+03,  2.00909560E+02
 5.49418810E-03,  1.03738140E-01,  4.83510970E-03, -2.25270900E+03, -1.76045520E+02
 5.59152200E-03,  1.05867840E-01,  5.18896060E-03, -1.90459990E+03, -5.96252690E+02
 5.72054790E-03,  1.07988360E-01,  5.58864650E-03, -1.59986340E+03, -8.51269960E+02
 5.85193650E-03,  1.10120660E-01,  5.99690850E-03, -1.37454920E+03, -1.04831410E+03
 5.98662770E-03,  1.12251450E-01,  6.41191100E-03, -1.14277980E+03, -1.18250320E+03
 6.12233160E-03,  1.14380760E-01,  6.83412000E-03, -8.46162230E+02, -1.22029820E+03
 6.26115450E-03,  1.16508420E-01,  7.26353140E-03, -4.44941380E+02, -1.08316580E+03
 6.39341820E-03,  1.18637340E-01,  7.68869650E-03, -8.18672030E+01, -7.13783690E+02
 6.52353650E-03,  1.20763580E-01,  8.11169670E-03,  1.57102520E+02, -9.74357450E+01
 6.65454520E-03,  1.22882250E-01,  8.56525820E-03,  2.86058720E+02,  6.86532470E+02
 6.78994970E-03,  1.24997680E-01,  9.03263870E-03,  3.60495120E+02,  1.57010030E+03
 6.92575840E-03,  1.27112480E-01,  9.50272290E-03,  3.93286620E+02,  2.48661450E+03
 7.06144560E-03,  1.29226340E-01,  9.97702500E-03,  3.88689580E+02,  3.22291820E+03
 7.19218380E-03,  1.31326750E-01,  1.04508510E-02,  3.65350710E+02,  3.61016040E+03
 7.31205890E-03,  1.33409570E-01,  1.09198090E-02,  3.16921630E+02,  3.55293550E+03
 7.42756300E-03,  1.35491980E-01,  1.13916920E-02,  2.62357390E+02,  3.07546000E+03
 7.50733120E-03,  1.37580930E-01,  1.18409040E-02,  2.08649340E+02,  2.22720750E+03
 7.55962080E-03,  1.39674290E-01,  1.22739360E-02,  2.17563050E+02,  1.17832130E+03
 7.59342410E-03,  1.41769470E-01,  1.26970600E-02,  3.15438290E+02,  1.61077910E+02
 7.66536690E-03,  1.43829060E-01,  1.31526470E-02,  4.59326510E+02, -6.01197810E+02
 7.76547430E-03,  1.45882500E-01,  1.36340710E-02,  6.05423400E+02, -1.13939830E+03
 7.86181910E-03,  1.47935550E-01,  1.41179310E-02,  7.24591190E+02, -1.51309670E+03
 7.95184360E-03,  1.49990750E-01,  1.45937730E-02,  8.04950440E+02, -1.74728830E+03
 8.04529060E-03,  1.52045880E-01,  1.50693650E-02,  8.49657650E+02, -1.84276420E+03
 8.13495090E-03,  1.54084090E-01,  1.55350980E-02,  8.60542850E+02, -1.83399070E+03
 8.22516070E-03,  1.56108070E-01,  1.59955470E-02,  8.35046630E+02, -1.74726540E+03
 8.32143430E-03,  1.58131210E-01,  1.64584310E-02,  7.74349850E+02, -1.61922990E+03
 8.45726770E-03,  1.60151290E-01,  1.69246900E-02,  6.88983700E+02, -1.47598400E+03
 8.61550770E-03,  1.62167060E-01,  1.74024660E-02,  5.89335750E+02, -1.34136560E+03
 8.79050980E-03,  1.64180440E-01,  1.78845250E-02,  4.78368230E+02, -1.22215500E+03
 8.98546910E-03,  1.66194380E-01,  1.83707050E-02,  3.62791290E+02, -1.11479240E+03
 9.23750460E-03,  1.68194120E-01,  1.88848530E-02,  2.48804690E+02, -1.02164570E+03
 9.56487190E-03,  1.70173690E-01,  1.94365490E-02,  1.35514890E+02, -9.57411680E+02
 9.93473640E-03,  1.72143890E-01,  1.99947580E-02,  2.41217580E+01, -9.20210080E+02
 1.03326060E-02,  1.74109000E-01,  2.05518510E-02, -8.44938810E+01, -8.99264160E+02
 1.07415460E-02,  1.76051140E-01,  2.10947300E-02, -1.88785140E+02, -8.86440370E+02
 1.11211460E-02,  1.77981450E-01,  2.15961900E-02, -2.85598510E+02, -8.75402650E+02
 1.15120710E-02,  1.79911350E-01,  2.20904390E-02, -3.75814150E+02, -8.66756530E+02
 1.19107630E-02,  1.81841780E-01,  2.25763450E-02, -4.62104610E+02, -8.55839970E+02
 1.23252230E-02,  1.83771280E-01,  2.30525830E-02, -5.45695010E+02, -8.37254940E+02
 1.27500380E-02,  1.85700740E-01,  2.35198720E-02, -6.23507020E+02, -8.05617000E+02
