Frequency (Hz)	flute (0.00s - 3.54s) PSD (dB/Hz)
3978.26	16.45
3980.95	16.29
3983.64	14.52
3986.33	12.55
3989.03	14.19
3991.72	16.54
3994.41	16.62
3997.10	17.09
3999.79	16.15
4002.48	18.01
4005.18	17.93
4007.87	17.51
4010.56	17.74
4013.25	14.43
4015.94	13.91
4018.63	15.05
4021.33	17.79
4024.02	19.43
4026.71	18.89
4029.40	19.87
4032.09	18.58
4034.78	19.91
4037.48	19.72
4040.17	20.57
4042.86	20.70
4045.55	20.38
4048.24	18.62
4050.93	18.05
4053.63	19.40
4056.32	20.54
4059.01	20.28
4061.70	19.53
4064.39	20.25
4067.08	17.50
4069.78	14.52
4072.47	15.98
4075.16	19.47
4077.85	18.79
4080.54	17.12
4083.23	16.55
4085.93	17.17
4088.62	16.32
4091.31	16.26
4094.00	17.51
4096.69	17.34
4099.38	16.43
4102.08	14.98
4104.77	13.82
4107.46	14.54
4110.15	14.30
4112.84	15.95
4115.53	15.76
4118.23	15.76
4120.92	18.41
4123.61	18.42
4126.30	18.76
4128.99	16.68
4131.68	13.99
4134.38	11.97
4137.07	11.43
4139.76	12.83
4142.45	17.60
4145.14	17.66
4147.83	14.98
4150.52	15.24
4153.22	17.13
4155.91	17.89
4158.60	17.40
4161.29	15.40
4163.98	15.09
4166.67	15.02
4169.37	17.25
4172.06	17.59
4174.75	17.77
4177.44	16.72
4180.13	16.10
4182.82	16.28
4185.52	19.62
4188.21	22.34
4190.90	22.82
4193.59	21.66
4196.28	19.38
4198.97	20.24
4201.67	21.38
4204.36	21.36
4207.05	22.03
4209.74	23.93
4212.43	23.02
4215.12	22.92
4217.82	21.94
4220.51	19.12
4223.20	15.65
4225.89	14.99
4228.58	13.42
4231.27	14.07
4233.97	15.76
4236.66	15.33
4239.35	12.67
4242.04	11.38
4244.73	11.55
4247.42	14.10
