[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-1.27422498E-003,  2.52289294E-001,  1.62011414E-002,  1.69561450E+003,  6.35621891E+002
-1.20573514E-003,  2.55647649E-001,  1.62650332E-002,  1.68631814E+003,  8.80224648E+002
-1.15058259E-003,  2.58487253E-001,  1.63236146E-002,  1.31015411E+003,  4.37870236E+002
-1.13606755E-003,  2.60882895E-001,  1.63584497E-002,  8.50254848E+002,  1.30166204E+002
-1.13943800E-003,  2.62899154E-001,  1.63821875E-002,  4.63167189E+002, -5.27341496E+001
-1.14348452E-003,  2.64592465E-001,  1.64041176E-002,  2.51778536E+002, -1.87576220E+002
-1.14772083E-003,  2.66012202E-001,  1.64239303E-002,  1.81125087E+002, -4.14423911E+002
-1.15185396E-003,  2.67200612E-001,  1.64415298E-002,  2.24610651E+002, -1.83379249E+002
-1.15571770E-003,  2.68193904E-001,  1.64569594E-002,  3.59163546E+002, -8.98849233E+001
-1.15922801E-003,  2.69022993E-001,  1.64703464E-002,  5.97169591E+002,  1.26201847E+001
-1.16235308E-003,  2.69714150E-001,  1.64818636E-002,  8.36830012E+002,  1.11468103E+002
-1.16509361E-003,  2.70289670E-001,  1.64917044E-002,  1.21305159E+003,  1.33840251E+002
-1.16746928E-003,  2.70768392E-001,  1.65000649E-002,  1.60882128E+003,  1.34485935E+002
-1.16951008E-003,  2.71166211E-001,  1.65071342E-002,  1.92389754E+003,  1.15783870E+002
-1.17125053E-003,  2.71496494E-001,  1.65130879E-002,  2.14377354E+003,  5.77126641E+001
-1.17272621E-003,  2.71770490E-001,  1.65180855E-002,  2.28002758E+003,  3.30359407E+001
-1.17397134E-003,  2.71997602E-001,  1.65222683E-002,  2.31609281E+003,  3.80337283E+001
-1.17501782E-003,  2.72185726E-001,  1.65257608E-002,  2.26707174E+003,  7.67502203E+000
-1.17589441E-003,  2.72341443E-001,  1.65286709E-002,  2.22321069E+003, -4.69742511E+000
-1.17662668E-003,  2.72470258E-001,  1.65310914E-002,  2.10333346E+003, -1.93675928E+001
-1.17723700E-003,  2.72576763E-001,  1.65331016E-002,  1.94955717E+003, -3.27659308E+001
-1.17774460E-003,  2.72664762E-001,  1.65347688E-002,  1.78532725E+003, -4.82492882E+001
-1.17816611E-003,  2.72737440E-001,  1.65361498E-002,  1.61617037E+003, -6.45858285E+001
-1.17851536E-003,  2.72797436E-001,  1.65372930E-002,  1.43887163E+003, -1.11094642E+002
