[Name]
mode1

[Parameters]
Frequency = 1152.13 [Hz]
Maximum Displacement = 0.00128982673254976 [m] 

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], meshdisptot x [ m ], meshdisptot y [ m ], meshdisptot z [ m ]
0.203,0.00753,0.0288,6.39E-06,3.90E-05,-4.44E-05
0.206,0.00771,0.0286,6.42E-06,5.54E-05,-6.08E-05
0.209,0.00789,0.0283,5.98E-06,7.50E-05,-8.03E-05
0.213,0.00807,0.0281,5.12E-06,9.76E-05,-0.000103
0.216,0.00827,0.0279,3.89E-06,0.000123,-0.000128
0.219,0.00843,0.0277,2.33E-06,0.000152,-0.000157
0.222,0.00852,0.0275,3.31E-07,0.000183,-0.000189
0.225,0.00869,0.0272,-2.47E-06,0.000217,-0.000224
0.228,0.00901,0.0271,-6.28E-06,0.000253,-0.00026
0.231,0.00935,0.027,-1.09E-05,0.000291,-0.000299
0.234,0.00963,0.0268,-1.60E-05,0.000331,-0.00034
0.237,0.00983,0.0266,-2.07E-05,0.000373,-0.000384
0.24,0.00997,0.0264,-2.54E-05,0.000417,-0.00043
0.243,0.0101,0.0262,-3.07E-05,0.000461,-0.000477
0.246,0.0102,0.0259,-3.66E-05,0.000505,-0.000524
0.186,0.00851,0.033,0,0,0
0.189,0.00884,0.0328,8.85E-07,-1.72E-07,-1.10E-06
0.192,0.00917,0.0327,2.10E-06,6.21E-07,-3.70E-06
0.195,0.0095,0.0324,3.32E-06,3.32E-06,-8.09E-06
0.198,0.00981,0.0322,4.37E-06,8.49E-06,-1.45E-05
0.201,0.0101,0.032,5.13E-06,1.65E-05,-2.33E-05
0.204,0.0104,0.0318,5.41E-06,2.76E-05,-3.46E-05
0.207,0.0106,0.0315,5.09E-06,4.21E-05,-4.87E-05
0.21,0.0109,0.0312,4.15E-06,5.98E-05,-6.56E-05
0.213,0.0111,0.0309,2.67E-06,8.06E-05,-8.54E-05
0.216,0.0114,0.0307,8.26E-07,0.000104,-0.000108
0.219,0.0115,0.0304,-1.40E-06,0.000131,-0.000134
0.222,0.0117,0.0301,-4.20E-06,0.000161,-0.000164
0.225,0.0119,0.0298,-8.03E-06,0.000194,-0.000196
0.228,0.0123,0.0296,-1.31E-05,0.000228,-0.000229
0.231,0.0127,0.0294,-1.91E-05,0.000265,-0.000265
0.234,0.013,0.0292,-2.53E-05,0.000304,-0.000304
0.237,0.0132,0.0289,-3.14E-05,0.000345,-0.000345
0.24,0.0134,0.0286,-3.74E-05,0.000387,-0.000389
0.243,0.0136,0.0283,-4.43E-05,0.00043,-0.000433
0.245,0.0138,0.028,-5.20E-05,0.000474,-0.000477
0.186,0.0107,0.0365,0,0,0
0.189,0.0112,0.0363,4.54E-07,-1.45E-06,-4.09E-07
0.192,0.0116,0.036,1.89E-06,-3.13E-06,-1.60E-06
0.195,0.012,0.0357,3.49E-06,-3.13E-06,-4.05E-06
0.198,0.0124,0.0354,4.79E-06,-5.38E-07,-8.27E-06
0.201,0.0128,0.0352,5.62E-06,5.05E-06,-1.46E-05
0.204,0.0131,0.0348,5.80E-06,1.40E-05,-2.35E-05
0.207,0.0135,0.0345,5.26E-06,2.64E-05,-3.51E-05
0.209,0.0138,0.0341,3.95E-06,4.21E-05,-4.94E-05
0.212,0.0141,0.0338,1.95E-06,6.11E-05,-6.65E-05
0.215,0.0144,0.0335,-6.34E-07,8.30E-05,-8.66E-05
0.218,0.0146,0.0332,-3.77E-06,0.000108,-0.00011
0.221,0.0148,0.0328,-7.55E-06,0.000137,-0.000137
0.224,0.0151,0.0324,-1.23E-05,0.000168,-0.000166
0.227,0.0155,0.0322,-1.81E-05,0.000201,-0.000197
0.23,0.0159,0.0319,-2.50E-05,0.000236,-0.00023
0.233,0.0163,0.0316,-3.25E-05,0.000274,-0.000266
0.236,0.0166,0.0313,-3.97E-05,0.000314,-0.000305
0.239,0.0168,0.0309,-4.71E-05,0.000356,-0.000347
0.242,0.017,0.0305,-5.57E-05,0.000399,-0.000389
0.245,0.0172,0.0301,-6.53E-05,0.000442,-0.000431
0.186,0.0121,0.039,0,0,0
0.189,0.0127,0.0387,4.95E-07,-2.56E-06,1.16E-09
