Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
241	7.	7.	9.	-7.9798e-002
242	7.	8.	9.	-0.1297
243	7.	9.	9.	-0.18796
244	6.	1.	1.	2.6841
245	6.	2.	1.	1.5667
246	6.	3.	1.	0.71245
247	6.	4.	1.	0.26726
248	6.	5.	1.	5.867e-002
249	6.	6.	1.	-6.5327e-002
250	6.	7.	1.	-0.1556
251	6.	8.	1.	-0.23955
252	6.	9.	1.	-0.3269
253	6.	1.	2.	2.6069
254	6.	2.	2.	1.5327
255	6.	3.	2.	0.72371
256	6.	4.	2.	0.29449
257	6.	5.	2.	8.6137e-002
258	6.	6.	2.	-4.1947e-002
259	6.	7.	2.	-0.13669
260	6.	8.	2.	-0.22394
261	6.	9.	2.	-0.31328
262	6.	1.	3.	2.4595
263	6.	2.	3.	1.456
264	6.	3.	3.	0.70533
265	6.	4.	3.	0.30333
266	6.	5.	3.	0.1025
267	6.	6.	3.	-2.5114e-002
268	6.	7.	3.	-0.1219
269	6.	8.	3.	-0.21129
270	6.	9.	3.	-0.30236
271	6.	1.	4.	2.2452
272	6.	2.	4.	1.3454
273	6.	3.	4.	0.66917
274	6.	4.	4.	0.30171
275	6.	5.	4.	0.11213
276	6.	6.	4.	-1.2416e-002
277	6.	7.	4.	-0.10948
278	6.	8.	4.	-0.19996
279	6.	9.	4.	-0.29224
280	6.	1.	5.	1.9914
281	6.	2.	5.	1.2134
282	6.	3.	5.	0.62307
283	6.	4.	5.	0.29462
284	6.	5.	5.	0.11804
285	6.	6.	5.	-2.3267e-003
286	6.	7.	5.	-9.8813e-002
287	6.	8.	5.	-0.18981
288	6.	9.	5.	-0.28325
289	6.	1.	6.	1.7111
290	6.	2.	6.	1.0668
291	6.	3.	6.	0.5699
292	6.	4.	6.	0.28339
293	6.	5.	6.	0.12058
294	6.	6.	6.	4.9252e-003
295	6.	7.	6.	-9.0433e-002
296	6.	8.	6.	-0.18162
297	6.	9.	6.	-0.27651
298	6.	1.	7.	1.4074
299	6.	2.	7.	0.90453
300	6.	3.	7.	0.50744
301	6.	4.	7.	0.26504
302	6.	5.	7.	0.11688
303	6.	6.	7.	7.0859e-003
304	6.	7.	7.	-8.588e-002
305	6.	8.	7.	-0.17632
306	6.	9.	7.	-0.27262
307	6.	1.	8.	1.076
308	6.	2.	8.	0.7216
309	6.	3.	8.	0.42779
310	6.	4.	8.	0.23162
311	6.	5.	8.	0.10052
312	6.	6.	8.	-6.6603e-006
313	6.	7.	8.	-8.7195e-002
314	6.	8.	8.	-0.1741
315	6.	9.	8.	-0.27033
316	6.	1.	9.	0.74335
317	6.	2.	9.	0.51276
318	6.	3.	9.	0.31817
319	6.	4.	9.	0.17004
320	6.	5.	9.	6.1997e-002
321	6.	6.	9.	-2.1845e-002
322	6.	7.	9.	-9.6553e-002
323	6.	8.	9.	-0.17395
324	6.	9.	9.	-0.26543
325	5.	1.	1.	2.2945
326	5.	2.	1.	1.5911
327	5.	3.	1.	0.93707
328	5.	4.	1.	0.46967
329	5.	5.	1.	0.17693
330	5.	6.	1.	-1.0507e-002
331	5.	7.	1.	-0.1509
332	5.	8.	1.	-0.27588
333	5.	9.	1.	-0.41006
334	5.	1.	2.	2.2367
335	5.	2.	2.	1.5621
336	5.	3.	2.	0.93905
337	5.	4.	2.	0.48902
338	5.	5.	2.	0.20044
339	5.	6.	2.	1.016e-002
340	5.	7.	2.	-0.1354
341	5.	8.	2.	-0.26532
342	5.	9.	2.	-0.40174
343	5.	1.	3.	2.137
344	5.	2.	3.	1.4993
345	5.	3.	3.	0.91451
346	5.	4.	3.	0.48972
347	5.	5.	3.	0.21227
348	5.	6.	3.	2.4583e-002
349	5.	7.	3.	-0.12182
350	5.	8.	3.	-0.25309
351	5.	9.	3.	-0.38921
352	5.	1.	4.	1.9836
353	5.	2.	4.	1.4017
354	5.	3.	4.	0.86781
355	5.	4.	4.	0.47621
356	5.	5.	4.	0.21531
357	5.	6.	4.	3.4165e-002
358	5.	7.	4.	-0.10999
359	5.	8.	4.	-0.24039
360	5.	9.	4.	-0.37521
361	5.	1.	5.	1.7903
362	5.	2.	5.	1.2782
363	5.	3.	5.	0.80564
364	5.	4.	5.	0.4535
365	5.	5.	5.	0.21268
366	5.	6.	5.	4.0336e-002
367	5.	7.	5.	-9.9924e-002
368	5.	8.	5.	-0.22845
369	5.	9.	5.	-0.36181
370	5.	1.	6.	1.5725
371	5.	2.	6.	1.1382
372	5.	3.	6.	0.73363
373	5.	4.	6.	0.42484
374	5.	5.	6.	0.20598
375	5.	6.	6.	4.3443e-002
376	5.	7.	6.	-9.2268e-002
377	5.	8.	6.	-0.21868
378	5.	9.	6.	-0.35121
379	5.	1.	7.	1.3381
380	5.	2.	7.	0.98524
381	5.	3.	7.	0.65229
382	5.	4.	7.	0.38909
383	5.	5.	7.	0.19346
384	5.	6.	7.	4.1779e-002
385	5.	7.	7.	-8.8331e-002
386	5.	8.	7.	-0.21201
387	5.	9.	7.	-0.34415
388	5.	1.	8.	1.0959
389	5.	2.	8.	0.81995
390	5.	3.	8.	0.55774
391	5.	4.	8.	0.34059
392	5.	5.	8.	0.16975
393	5.	6.	8.	3.1428e-002
394	5.	7.	8.	-9.0126e-002
395	5.	8.	8.	-0.20851
396	5.	9.	8.	-0.33943
397	5.	1.	9.	0.86625
398	5.	2.	9.	0.64746
399	5.	3.	9.	0.44239
400	5.	4.	9.	0.26837
401	5.	5.	9.	0.12518
402	5.	6.	9.	5.9278e-003
403	5.	7.	9.	-0.10052
404	5.	8.	9.	-0.20724
405	5.	9.	9.	-0.33211
406	4.	1.	1.	2.0149
407	4.	2.	1.	1.5341
408	4.	3.	1.	1.0297
409	4.	4.	1.	0.60274
410	4.	5.	1.	0.28369
411	4.	6.	1.	5.0205e-002
412	4.	7.	1.	-0.13379
413	4.	8.	1.	-0.2992
414	4.	9.	1.	-0.4757
415	4.	1.	2.	1.9812
416	4.	2.	2.	1.5193
417	4.	3.	2.	1.0351
418	4.	4.	2.	0.62011
419	4.	5.	2.	0.3042
420	4.	6.	2.	6.7237e-002
421	4.	7.	2.	-0.12348
422	4.	8.	2.	-0.29574
423	4.	9.	2.	-0.47506
424	4.	1.	3.	1.9084
425	4.	2.	3.	1.4695
426	4.	3.	3.	1.011
427	4.	4.	3.	0.61559
428	4.	5.	3.	0.31055
429	4.	6.	3.	7.7555e-002
430	4.	7.	3.	-0.11286
431	4.	8.	3.	-0.28526
432	4.	9.	3.	-0.46216
433	4.	1.	4.	1.7903
434	4.	2.	4.	1.3849
435	4.	3.	4.	0.96138
436	4.	4.	4.	0.59355
437	4.	5.	4.	0.30593
438	4.	6.	4.	8.2403e-002
439	4.	7.	4.	-0.1029
440	4.	8.	4.	-0.27154
441	4.	9.	4.	-0.44387
442	4.	1.	5.	1.6401
443	4.	2.	5.	1.2768
444	4.	3.	5.	0.89617
445	4.	4.	5.	0.56157
446	4.	5.	5.	0.29519
447	4.	6.	5.	8.3815e-002
448	4.	7.	5.	-9.4386e-002
449	4.	8.	5.	-0.25797
450	4.	9.	5.	-0.42556
451	4.	1.	6.	1.4712
452	4.	2.	6.	1.1552
453	4.	3.	6.	0.82218
454	4.	4.	6.	0.5241
455	4.	5.	6.	0.28078
456	4.	6.	6.	8.2555e-002
457	4.	7.	6.	-8.7957e-002
458	4.	8.	6.	-0.24636
459	4.	9.	6.	-0.40994
460	4.	1.	7.	1.2982
461	4.	2.	7.	1.0297
462	4.	3.	7.	0.74518
463	4.	4.	7.	0.48394
464	4.	5.	7.	0.26358
465	4.	6.	7.	7.8335e-002
466	4.	7.	7.	-8.4613e-002
467	4.	8.	7.	-0.23822
468	4.	9.	7.	-0.39914
469	4.	1.	8.	1.1287
470	4.	2.	8.	0.90202
471	4.	3.	8.	0.66227
472	4.	4.	8.	0.43611
473	4.	5.	8.	0.23863
474	4.	6.	8.	6.7505e-002
475	4.	7.	8.	-8.6054e-002
476	4.	8.	8.	-0.2332
477	4.	9.	8.	-0.39169
478	4.	1.	9.	0.96815
479	4.	2.	9.	0.77025
480	4.	3.	9.	0.56478
481	4.	4.	9.	0.36911
482	4.	5.	9.	0.19561
483	4.	6.	9.	4.3075e-002
484	4.	7.	9.	-9.5178e-002
485	4.	8.	9.	-0.2296
486	4.	9.	9.	-0.38111
487	3.	1.	1.	1.8322
488	3.	2.	1.	1.4705
489	3.	3.	1.	1.0532
490	3.	4.	1.	0.67265
491	3.	5.	1.	0.3564
492	3.	6.	1.	0.1014
493	3.	7.	1.	-0.11371
494	3.	8.	1.	-0.31672
495	3.	9.	1.	-0.52649
496	3.	1.	2.	1.8258
497	3.	2.	2.	1.4759
498	3.	3.	2.	1.0685
499	3.	4.	2.	0.69329
500	3.	5.	2.	0.37627
501	3.	6.	2.	0.11542
502	3.	7.	2.	-0.10841
503	3.	8.	2.	-0.32059
504	3.	9.	2.	-0.53401
505	3.	1.	3.	1.7606
506	3.	2.	3.	1.4282
507	3.	3.	3.	1.0403
508	3.	4.	3.	0.6815
509	3.	5.	3.	0.37536
510	3.	6.	3.	0.12029
511	3.	7.	3.	-0.10082
512	3.	8.	3.	-0.31036
513	3.	9.	3.	-0.51804
514	3.	1.	4.	1.6617
515	3.	2.	4.	1.3528
516	3.	3.	4.	0.991
517	3.	4.	4.	0.65468
518	3.	5.	4.	0.36491
519	3.	6.	4.	0.12057
520	3.	7.	4.	-9.3223e-002
521	3.	8.	4.	-0.29596
522	3.	9.	4.	-0.49574
523	3.	1.	5.	1.5377
524	3.	2.	5.	1.2576
525	3.	3.	5.	0.92782
526	3.	4.	5.	0.61855
527	3.	5.	5.	0.34862
528	3.	6.	5.	0.11773
529	3.	7.	5.	-8.6511e-002
530	3.	8.	5.	-0.28065
531	3.	9.	5.	-0.47185
532	3.	1.	6.	1.4025
533	3.	2.	6.	1.1545
