"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
1,1.91832767390475E-13,0.309774248102842,1,1
1.001,0.31410759078144,0.308579180573784,1,1
1.002,0.627905195293256,0.307383625756082,1,1
1.003,0.941083133185231,0.306187585537677,1,1
1.004,1.2533323356431,0.304991061807281,1,1
1.005,1.56434465040233,0.303794056454368,1,1
1.006,1.87381314585723,0.302596571369173,1,1
1.007,2.18143241396538,0.301398608442689,1,1
1.008,2.48689887164847,0.300200169566663,1,1
1.009,2.78991106039218,0.299001256633591,1,1
1.01,3.09016994374933,0.297801871536724,1,1
1.011,3.38737920245274,0.296602016170052,1,1
1.012,3.68124552684657,0.295401692428312,1,1
1.013,3.97147890634757,0.294200902206978,1,1
1.014,4.25779291565046,0.292999647402263,1,1
1.015,4.53990499739518,0.29179792991111,1,1
1.016,4.81753674101684,0.290595751631197,1,1
1.017,5.09041415750337,0.289393114460927,1,1
1.018,5.3582679497896,0.288190020299428,1,1
1.019,5.62083377852092,0.28698647104655,1,1
1.02,5.87785252292433,0.285782468602862,1,1
1.021,6.12907053652934,0.284578014869647,1,1
1.022,6.37423989748646,0.283373111748903,1,1
1.023,6.61311865323607,0.282167761143336,1,1
1.024,6.84547105928642,0.28096196495636,1,1
1.025,7.071067811865,0.279755725092091,1,1
1.026,7.28968627421363,0.278549043455346,1,1
1.027,7.5011106963041,0.27734192195164,1,1
1.028,7.7051324277574,0.276134362487184,1,1
1.029,7.90155012375641,0.274926366968878,1,1
1.03,8.09016994374898,0.273717937304312,1,1
1.031,8.27080574274512,0.272509075401761,1,1
1.032,8.44327925501966,0.271299783170184,1,1
1.033,8.60742027003895,0.270090062519218,1,1
1.034,8.76306680043816,0.268879915359177,1,1
1.035,8.91006524188322,0.267669343601048,1,1
1.036,9.04827052465975,0.266458349156489,1,1
1.037,9.17754625683938,0.265246933937828,1,1
1.038,9.2977648588821,0.264035099858052,1,1
1.039,9.40880768954186,0.262822848830813,1,1
1.04,9.51056516295117,0.261610182770422,1,1
1.041,9.60293685676909,0.260397103591843,1,1
